client_id,Variation
5907345,Control
8593299,Control
6551583,Control
5530388,Control
8272661,Control
8636919,Control
5217472,Control
2508266,Control
252085,Control
3113614,Control
3846557,Control
2432399,Control
4940498,Control
5194745,Control
7116465,Control
7986451,Control
712670,Control
6460031,Control
8817820,Control
2391727,Control
1013311,Control
2458943,Control
9799677,Control
9157623,Control
4549867,Control
6071038,Control
671304,Control
5521684,Control
3963721,Control
423508,Control
959075,Control
9645775,Control
3652116,Control
8082454,Control
8807923,Control
7938527,Control
9358513,Control
4985930,Control
9900704,Control
8485725,Control
3650618,Control
1814940,Control
5524226,Control
4671619,Control
9159121,Control
5505977,Control
9661253,Control
5931603,Control
9939805,Control
634557,Control
862662,Control
8510293,Control
5194828,Control
9898856,Control
9255097,Control
7856876,Control
5845017,Control
4969155,Control
4547552,Control
5312008,Control
8877399,Control
7001799,Control
5376682,Control
550276,Control
2188558,Control
5523886,Control
2438282,Control
9151400,Control
735409,Control
4846045,Control
6652997,Control
3957228,Control
8146476,Control
553718,Control
3098068,Control
9289988,Control
9727712,Control
546110,Control
9400650,Control
641191,Control
2551318,Control
3624351,Control
2304486,Control
4197208,Control
6180865,Control
9099523,Control
2998840,Control
1733507,Control
7552835,Control
2495855,Control
5752256,Control
6240210,Control
5961337,Control
5330825,Control
2883141,Control
3709215,Control
1046915,Control
4072010,Control
9280081,Control
5830544,Control
244897,Control
1354915,Control
2428045,Control
3403632,Control
2010561,Control
7954907,Control
5422947,Control
2748973,Control
3784014,Control
5259513,Control
2903734,Control
824824,Control
3743282,Control
7980976,Control
9351949,Control
54363,Control
2532676,Control
6126433,Control
1445252,Control
9935799,Control
987596,Control
1538798,Control
4670573,Control
5018608,Control
7319108,Control
8492978,Control
9741252,Control
2196116,Control
9088621,Control
8819468,Control
7843008,Control
9066145,Control
3461707,Control
1281539,Control
1418730,Control
6438329,Control
6462575,Control
9391701,Control
6547872,Control
9183400,Control
3617710,Control
5023798,Control
7839097,Control
606892,Control
2621063,Control
9242111,Control
2712440,Control
1602451,Control
8255751,Control
6692718,Control
8737456,Control
8496064,Control
7334644,Control
842300,Control
3514576,Control
1147840,Control
5942983,Control
7845532,Control
1809326,Control
5284235,Control
1973917,Control
3402314,Control
5154317,Control
2634756,Control
2365879,Control
8893867,Control
3834001,Control
7769650,Control
925783,Control
1025949,Control
5840107,Control
2327007,Control
3898390,Control
6940939,Control
3291122,Control
6431926,Control
5586669,Control
8118305,Control
6753738,Control
7192218,Control
6929632,Control
7354807,Control
9962929,Control
5336960,Control
4374598,Control
9129948,Control
981961,Control
3979168,Control
5317548,Control
2945880,Control
2355748,Control
2000438,Control
1221189,Control
5264326,Control
4435683,Control
5892672,Control
6945986,Control
5794104,Control
4789377,Control
7765885,Control
